doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc11: throttle; Roger; tractors; Benesh; Bandidos; hand throttle; foot throttle; Great Bedwyn; speed of the tractor; Avon Canal; Kennet and Avon; Bush administration; construction began; they look; Federal Government; 40th anniversary; early development; control over; telephone calls; proposed route; 
doc12: Associated; inability; Companies; unattractive; removing; Associated Companies; inability to stop; three from; original objective; Pacific Theater; Marshall Islands; most difficult; F4U Corsair; very difficult; December 30; Act of Parliament; During the course; fans and critics; until August; through May; 
doc13: arbitration; Natalie; Silverman; parliament; international; international arbitration; liquor holder; Victor Jr; Mustafa Kemal; Anime News Network; outside in the river; R&B/Hip-Hop Albums; Labour Party; football stadiums; movement united; European countries; cerebral palsy; certified Gold; still waiting; happened over; 
doc14: Superleague; Chittick; Mel-Man; multi-platinum; Furtado; mechanical engineering; Snoop Dogg; promoted as runners-up; fellow student; Scott Storch; Fifth Column; final single; song was written; It was released on October; lead single; because she; October 13; before she; got into; were being; 
doc15: Bieldside; championships; Halal; Deeside; Wayland; league championships; administrative parts; neighbouring village; most pins; concentration camps; host city; Olympic Committee; major streets; his daughters; Washington Post; Queen Victoria; many schools; December 2003; poor family; Marvel Comics; 
doc16: fasting; Tartikoff; Participants; juice; Indies; juice fasting; West Indies; alternative medicine; autoimmune diseases; Preparatory School; severe infections; future expansion; military officer; been responsible; memorial plaque; happily married; Dominican Republic; urban centers; second innings; just over; 
doc17: illustrator; Hendrick; memetic; Balen; fences; memetic material; Hendrick van Balen; Cross-country skiing; transmitted through; diplomatic mission; almost invariably; Fleetwood Mac's; first discovered; two exceptions; minimum number; Dakota State Senate; their design; This however; The Simpsons; While serving; 
doc18: rhetoric; sciences; rhetorical; sclerosis; forceful; arts and sciences; forceful rhetorical; nuclear sclerosis; Analog-to-digital conversion; new rhetoric; Bikini Atoll; further development; refractive index; Pittsburgh Steelers; Philadelphia Eagles; originally planned; reflection from; professional football; often confused; its appearance; 
doc19: Peewit; figurines; Montt's; indiscriminate; organization; teacher education; one place; Canberra Raiders; The reason; education programs; material things; Capital Territory; do not; Eastern Suburbs; other activities; largest groups; former professional; they do; Minister of Transport; been criticized; 
doc20: Corwin; Radcliffe; Flaherty; connectors; quarter-inch; Radcliffe's performance; quarter-inch phone connectors; ring homomorphism; Alan Strang; family name; unitary authority; modern practice; lead role; Daily Telegraph; never thought; just happened; assumed power; This nickname; then transferred; dollars worth; 
doc21: Springfield; Peirce's; Bavetta; Avenue; intersection; Springfield Avenue; Peirce's criterion; playoff games; practical application; Broad Street; Springfield Township; successful seasons; southbound traffic; CR 577; originally started; major shareholder; Canadian National Railways; southern terminus; accidentally hit; Northern Railway; 
doc22: Vinger; right-hander; Kongsvinger; harnessing; career-high; The right-hander; medieval period; early medieval; road leading; Early career; During the early; This group; north and south; ATP Tour; very large; during his; In 2009; from the; 
doc23: shutdown; Thumer; railways; rolling; 1992–93; Thumer Netz; rolling stock; still operational; passenger service; The condition; Montenegro at; Future plans; reaching the Third; club also competed; Third Round; narrow gauge; 2006 Winter; The remaining; were still; were used; 
doc24: Rampone; statistics; Co-operative; Tombstone; qualification; national team; minor character; including five; character can; Silver medal; Second Division; 2000 Summer Olympics in Sydney; Bronze medal; team finished; towards him; Derry City; games played; five games; Vale Park; Summer Olympics; 
doc25: incarnation; daughter's; time-travelling; Plane; feathers; international organization; Wonder Woman; before appearing; Wonder Woman's; since evolved; proper name; itself into; The Indians; its summit; Czech Republic; Central Asia; assume the form; modern times; her friends; allow them; 
doc26: LDL-cholesterol; meta-analysis; monacolins; mg/dl; monacolin; clinical trials; electoral district; Abraham Lincoln; monacolin K; GTE Midwest; 35� mg/dl; deliberate attempt; provincial electoral; usually considered; Nova Scotia; converted to Christianity; typically used; The Reverend; Baptist Church; Nova Scotia House of Assembly; 
doc27: Stojanović; Mihajlović; dorsiflexion; flexion; Homecoming; technical contribution; scat singing; which Mihajlović; Homecoming videos; flexion between; Vestal Goodman; flexion between the hand; ODI series; subsequently appeared; opposite directions; Canterbury Bulldogs; hand and the body's; consecutive seasons; Operations Squadron; Yugoslavia during; 
doc28: Christ’s; Cotton's; quest; captives; discrepancy; presumably before; Harry Belafonte; Island Records; series premiere; album was nominated; described in terms; which bears; Grammy Awards; Best Album; human soul; decision was made; blown off; telling him; Awards for Best; were released; 
doc29: dauphinoise; Tennekoon; Roly-Poly; marmots; Davenne; bobak marmots; Jam Roly-Poly; hand-to-hand combat; cricket team; official position; first-class match; league championship; attempted murder; cultivated fields; longer actively; eventually went; they live; drug trafficking; identity theft; be slaughtered; 
doc30: environmental; environmentally; Vela; Sports-Reference; Densmore; American anthropologist; Lake Garda; UVHS Wind; supernova remnant; modern historians; trade paperbacks; relationship between; 1968 Olympics; The algorithm; Vela X; been utilized; founding member; climate change; December 25; Native American; 
doc31: Whiteside; authentication; coastlines; hunted; identification; Delta State; have overlapping; different species; Baltimore Orioles; sixth round; three years; baseball team; bodies of water; Major League Baseball; then spent; State University; October 22; using the same; or near; years at; 
doc32: sulfide; Ireland; monarchical; springs; hydrolysis; Kingdom of Great Britain; Great Britain; The designation; United Kingdom; Northern Ireland; contain up; used during; natural gas; only part; was used; into the; can be; 
doc33: Beaupré; great-great-grandson; Weizmann; Generations; sociological; Weizmann Institute; lived during; lived during the reign; reign of King; lived during the reign of King; military aircraft; King Edward; largest collection; King Henry; Military History; Weizmann Institute of Science; his grandmother; faculty member; John Dewey; King Richard II; 
doc34: All-Americans; Academic; nation-leading; Iscamtho; spacing; sentence spacing; Academic All-Americans across all sports; different varieties; vocational programs; Del Mar; magazines and newspapers; training programs; African Americans; Southern California; medical training; He campaigned; wholly owned subsidiary; search engines; football season; And although; 
doc35: Weinstein; farmer-owned; Stratford; Brickfields; cooperatives; farmer-owned cooperatives; Home Hospital; Kile Building; Buckingham branch; Edinburgh Rugby; building would; community continued; level set; very uncomfortable; formally abandoned; television presenter; financial services; two-story brick; Rham cohomology; Mary's Cemetery; 
doc36: Abhirami; Theertham'; Augustus; temple; Transport; separate shrine; North Rhine-Westphalia; gathering together; other punctuation; honorary doctorate; Justice Society; returning home; Faculty of Philosophy; have rendered; coffee houses; Roman history; laurel wreath; This provided; doctorate at; most significant; 
doc37: Musides; Kalos; Kashdan; warbler; Presbyterians; 25th anniversary; Go Records 25th anniversary concert; Kalos and Musides; Go Records 25th; Touch and Go Records 25th; originally opened; tourist destination; uncommon species; Caribbean island; Touch and Go; rapid expansion; more traditional; centuries ago; rural localities; soon abandoned; 
doc38: redevelopment; Continents; Encounter; Championships; poverty-stricken; Atlanta Campaign; Four Continents; World Championships; The KLF; Virtue / Moir; silver medalists; northern Georgia; Historic Landmark; severely wounded; enemy's works; citation read; national title; limited edition; major general; hardcore punk; 
doc39: Kraljević; Čapljina; HOS; Trebinje; Herzegovina; Bosnian government; Similar crossings; Charitable Trust; joined the ranks; Bosnia and Herzegovina; 2009 movie; important role; Bosnian War; summer of 1992; played an important role; his staff; under the command; 9 August; At the same time; one day; 
doc40: Transit; ST2; expansion; Sound; Lynnwood; Transit Center; random number generators; second phase; The measure; Federal Way; hundreds of miles; November 2008; November 2007; which included; The plan; under the name; 
doc41: duration; neumes; neume; Pierrepoint; Northwich; duration values; neumes consisting; neume elements; neume elements that represent; eternal return; notes have duration values; least two notes have duration values; neumes consisting of at least; notes in neumes; least two notes; sufficient interest; total duration; situated along; reaches its maximum; December 2002; 
doc42: out-of-state; Colette; Ottomans; songwriters; Hungary; institutions such; The intervention; present day; JPMorgan Chase; Eddie Schwartz; relationship between; production team; Goldman Sachs; further back; Steve Smith; local government; Ottoman Empire; forced them; Vienna in 1683; She began; 
doc43: Universidad; Brighton; rangefinder; neighbourhood; Drive; newer developments; North River Road; Brighton Road; philosophical system; football quarterback; oldest university; Arizona Cardinals; schools and universities; steam locomotives; southern Chile; incomplete list of Statutory; passenger trains; Goods traffic; incomplete list; spread through; 
doc44: Maximus; Enclave; Attilan; Mathematical; Mathematics; Black Bolt; Genealogical resources; Applied Mathematics; solitary confinement; Mathematical Society; following films; Islamic scholar; allied himself; Frank Morgan; again placed; forced to return; golf course; several months; founded in 1995; between them; 
doc45: advancing; glaciers; photographic; seed; infrastructure; Midwest Region; RNA synthesis; Mount Ruapehu; recently used tasks; protein and RNA synthesis; Crystal Palace; thoroughly understood; Turks and Caicos; seed in the Midwest; advancing to the No; advancing as the No; provide information; most recently; democratic system; called X; 
doc46: Herrnhut; Moody; Interchange; Krummnow; Metcalf; electric guitars; consensus first-team All-American; Waseda University; Defensive Player; live performances; largest company; Students' Union; Master's Degree; currently working; In association; Human Sciences; figure skating; Provincial Park; sound similar; currently out; 
doc47: Caraquet; Achilles; Hardman; semi-automatic; little-known; federal officials; second consecutive; remained silent; Doctorate from; Yellow background for top-10; 2007–08 season; NCAA tournament; consecutive year; entirely on location; Henry Miller; Village Voice; The governor; Santo Tomas; front cover; The rebels; 
doc48: Alvernia; Northampton; Monterrey; Massachusetts; Czechoslovak; biomedical research; private university; originally started; university located; Mexican League; home runs; Public Service; It originally; All-Star team; bone marrow; call letters; 1400� kHz; President of the United States; growing up; The call; 
doc49: Maynwaring; Lukashenko; Sibthorpe; Prokhorov; Galina; confidence interval; writers such; potential customer; October Revolution; International Year; published sermons; about twenty-five; twenty-five years; absolute monarchy; United Nations; assistant editor; Charles I; techniques such; emigrated from Russia; directly using; 
doc50: affiliation; McVeigh; relinquishing; prerequisite; liquidator; new constitution; February 2004; 6 February; any case; Supreme Court; only had; but only; no longer; As a result; A new; On 6; J K; 
doc51: Priory; Sölden; monastery; Weightlifting; Alternatively; acoustic versions; original album; then released; versions of songs; Abbey of Cluny; second CD; later moved; became known; The second; also known; In 2006; was used; The song; which was; he had; 
doc52: championships; morphemes; Scotties; Crawford; re-branded; Scotties Tournament; co-written by Clarke; final position; Scotties Tournament of Hearts; standing long jump; board scene; metres hurdles in 1981; round robin; played frequently; responsible for managing; team would; Australian National; This combination; throughout Europe; CD compilation; 
doc53: Foundation’s; furnishings; accommodating; small-scale; colonization; school converted; cultural history; their disposal; being considered; academy status; converted to academy; art history and cultural; novel was published; September 2011; art history; The school; at their; In 2003; from the; 
doc54: fundamentalist; detective-hero; polygamy; bilayer; Pleasure; Junior department; plural marriages; bilayer behavior; lipid bilayers; contained within an elaborate; contained within; Seven Wonders; Ric Olsen; Holy Mountain; third function; The decoration; German Lutheran; Wonders of Ukraine; tail biting; Confessional Lutherans; 
doc55: Solihull; reserves; Elmdon; nature; burning; nature reserves; country park; Metropolitan Borough; units stationed; crosses the border; located at; The country; These include; Army Group; States Navy; saw the need; near the town; also used; There were; may have; 
doc56: recruiting; Illinois; Armenian; Pearl; triphenylphosphine; Armenian Apostolic; assistant coach; central California; Illinois at Urbana-Champaign; species epithet; post-season ban; University of Illinois at Urbana-Champaign; limited success; any wrongdoing; James Courtney; lack of institutional; College career; V8 Supercars; Soviets took; Christmas Eve; 
doc57: Jerusalem; Peterborough; archaeological; Westbound; Warrington; East Jerusalem; East Midlands; operated by Greater; largest city; holy city; cities in the world; three major; also received; school has; The school; has also; 
doc58: Croatian; England's; Derbyshire; Spanish; Under-21; governing Juntas; Spanish Empire; Military operations; temporary closure; conservation work; Thirteen Colonies; Football Championship; match against; but subsequently; American Revolution; engaging people; their second; endangered species; Croatian War of Independence; Important Bird; 
doc59: six-cylinder; optional; Manchester; Computer; Profession; Prince Leopold; Railway Company; much revered; also visible; backing vocals; social work; Trade Show; V8 engines; station was built; She appeared; February 10; let alone; now called; 1992 to 1996; young age; 
doc60: tracts; Kurtz; Belvedere; Craven's; Sifton; sparked outrage; received little; Canadian west; website was created; The case; then released; case was dismissed; ordered to appear; developed into; hours before; its founders; ethnic groups; take legal; did little; The runway; 
doc61: fables; Theroux; battleships; Sod's; circumnavigation; Sod's law; Hated Family; individual's actions; Theodore Roosevelt; he characterized; prolific writer; historic events; showed himself; gained popularity; three volumes; concepts such; single volume; bringing them; taught himself; turn violent; 
doc62: ContiLatin; operations; Modifications; shrimp; venture; joint venture; absolutely necessary; western hemisphere; Haitian government; previously occupied; technical support; trading company; Provincial Park; Prince Edward Island; Central and South America; South America; flour mill; West Indies; The company; took over; 
doc63: Cabrales; Fitipaldis; department; Sponsored; sponsored; faculty of the department; Fito & Fitipaldis; AICTE Sponsored; Summer Olympics; Renewable Energy; toured extensively; International Airport; taxi services; great delight; Olympics in Antwerp; first patent; Jean Baptiste; 1920 Summer Olympics in Antwerp; sometimes called; General Motors; 
doc64: Wallop; networking; Gröttrup; Benavent; Al-Aziz; articles written; guidance system; growing demand; such articles; bad weather; wet weather; now defunct; between them; 12 February; broke out; After the war; he worked; first time; On May; would be; 
doc65: tri-Crescendo; Hatsushiba; Spanbauer; interview; castle; information night; sound location; Men's doubles; initially responsible; Mixed team; Luge Championships; Scientific Interest; community members; stressed the importance; political issue; The neighborhood; school year; how important; episode was directed; Monolith Soft; 
doc66: veterans; Remembers; McMillin; school's; professionally; Rancho Remembers; Hank Williams; Cleveland Indians; local citizens; The event; special event; news outlets; organized in 2007; football player and coach; been covered; American football; Stock Exchange; college football; its founders; song has been covered; 
doc67: engagement; Technology; Maximilian; Zurich; Universities; Illinois Institute; cochlear implants; Stafford Cripps; Sign Language; Georgia Tech; Institute of Technology; another year; kept secret; District of Columbia; flown back; return home; family home; four months; he died; Gold Coast; 
doc68: honey; Sonic; Knuckles; Harappan; Ladislaus; Fort Stotsenburg; honey bee; States Army's; Investiture Controversy; Seigneur of Sark; particularly difficult; Sonic and Tails; honey bees; wide-body aircraft; conspired against; Observation Group; honey production; sparsely populated; increasing number; Oakland Athletics; 
doc69: Cheongwadae; Kidd; Playwrights; provinces; Pirates; his/her duties; Prime Minister; provincial seat; Elhanan Glazer; assisted in his/her; Office of the President; provincial government; further subdivided; toured extensively; Security Service; profound effect; full production; Loyalty Islands; its appearance; The provincial; 
doc70: LeBlanc; Misaki; Prim; Gaildorf; intersections; rampant armor; killing Prim; enough for Misaki; enough for Misaki to fire; Misaki to fire; following species; New Town; includes the following; She manages; The Making; been created; same set; The genus; having been; His father; 
doc71: Youngstown; Langesundsfjorden; Cappelenite; Zanesville; Hogan; Youngstown club; Youngstown Ohio Works; Sporting Life; Sheikh Rashid; Western Association; league championship; received numerous; following cities; especially noted; military operations; functional groups; later discovered; Guantánamo Bay; admitted to membership; general elections; 
doc72: utilitarianism; Novosibirsk; positivism; Daytona; empiricism; Presentation College; Western Philosophy; practical studies; Sibir Novosibirsk; PlayStation Store; contact with the West; Bone's mentor; Meiji Japan; cardiovascular disease; different approaches; Western civilization; Kim Wilde; Russian professional; Novosibirsk Oblast; Kontinental Hockey; 
doc73: Frankfurt; Egbert; Eintracht; associations; transported; association league; Eintracht Frankfurt; have transported; Mikveh Israel Cemetery; burial ground; Nathan Levy; league system; eventually returned; Kickers Offenbach; physical strength; permanent burial; family cemetery; present location; Students are required; This property; 
doc74: Catwoman; terrorists; attractants; methylation; effectiveness; methylation level; ongoing security problem; Duluth Model; Red Claw; important roles; The introduction; legal guardian; widely spaced; Batman and Catwoman; multiple times; his jacket; NCAA title; television series; μm in diameter; last names; 
doc75: doxology; Coalition; Tunnicliffe; Savonarola; Labor's; descriptive markup; Coalition was returned; returned again; Deliver us; thine is the kingdom; gravitational field; double dissolution; Laplace transform; Labor Party; European history; Greek manuscript; Eastern Orthodox; medical training; Carnegie Mellon; banking system; 
doc76: Lotus; Pteridium; Cosworth; Arseniev; genealogy; outstanding contributions; Nez Perce; Life of Arseniev; long cable; outstanding contributions to independent; commissioned into; Yo Gabba; Montana Territory; former employees; adventure series; website created; be commissioned; commissioned into the fleet; The Life; Oscar Wilde's; 
doc77: Bolívar; morphs; bargaining; color; collective; collective bargaining; color morphs; Simón Bolívar; international community; base color; The international; second period; protected area; midway through; native range; native country; pivotal role; main square; located within; The various; 
doc78: transliterated; Einsatzgruppe; Haugesund; Riga; redesignated; downtown Tulsa; Parliamentary Under-Secretary; underground organization; Infantry Division; Louisa Buck; major events; accent was used to indicate; international airport; Sir Antony; October 1941; occupied countries; administrative law; world record; Armoured Division; historical records; 
doc79: infected; scapegoats; cleanliness; non-Jewish; epidemics; similar numbers; infected in similar numbers; Jewish communities; Guinness Book; Guinness Book of World Records; Black Death; protect them; Pope Clement; Clement VI; several months; Middle Ages; months later; which made; were still; July 6; 
doc80: Colloquium; Higgins; atmospheric; Tampa; Markus; Porter Colloquium; technical innovations; backing vocalist; innovations was; currently live; bass guitarist; Saint Petersburg; Great Western Railway; Devon Railway; Upon his retirement; two remaining; art history and cultural; art historian; founding member; family members; 
doc81: Opticianry; Gallagher; prescriptions; Santiago; Necessary; Opticianry program; providing low-cost; Higher Education; press conference; Science and Technology; enrolled in the program; This school; project will; work space; At a press conference; January 24; soap opera; plans to build; The project; 
doc82: Teertha; bull; pullover; Ananda; privilege; Ananda Teertha; chess tournament; Native Women's; victories over; she finished; This resulted; 6 December; over three; been born; them but; On the night; told them; any of them; Group B; all three; 
doc83: Finucane; unrighteous; fornicators; idolaters; Ralphie's; inherit the kingdom; aesthetically pleasing; satellite airfield; recognized species; Secondary Schools; different models; his crew; squadron moved; public company; Police Department; town and municipality; enemy aircraft; The conversion; published under; Health Service; 
doc84: Turenne; emulation; relativism; adiabatic; Zhuangzi; emulation mode; matrix multiplication; Smithsonian Institution; consulting company; professor emeritus; potential energy; conception from; founding partner; American History; mentioned above; Woodrow Wilson; Museum of American History; cave painting; public affairs; primarily used; 
doc85: oversteer; explosives; Valores; supports; throttle; vertical load; Bolsa de Valores; rear tires; Flux Mass; Presidential Decree; reinforced concrete; successful author; exemplary service; programming language; group consisted; golden triangle; Amherst College; cultural and spiritual; become popular; also decreased; 
doc86: transmitter; socioeconomic; Shushunova; crescendo; ENAER; District Factor; transmitter site; significant importance; European Championships; Build an Army; their maintenance; slightly elevated; aviation industry; first identified; Olympic champion; magazine gave; serious about; own aviation; Department of Education; British rock; 
doc87: Saputo; Busted; Moosa; chicks; Hostess; Hostess Brands; She manages; Cheap Trick; Famous Players-Lasky; World Bowl; several advantages; advantages and disadvantages; Can't Stop; Oriental medicine; extremely difficult; hat shop; Sacramento Surge; Paramount Pictures; distributed by Paramount; championship game; 
doc88: shRNA; Safeguard; warhead; promoters; polymerase; Massey College; University of Toronto; hairpin RNA; football linebacker; Nintendo Entertainment System; Police Commissioner; numerous occasions; nuclear explosion; Rose Bowl; mid-1980s under; music business; Police Department; Super Nintendo; final release; Despite its success; 
doc89: upperside; ochraceous; desegregated; Houston; subterminal; Medical Corps; historically significant; fore wing; brigadier general; golf courses; Doctor of Medicine; lower body; The Chief; The lower; one another; very large; A member; from one; Air Force; one of the first; 
doc90: Lamanites; glycerol; ITV; Kibby; mausoleum; Metropolitan Toronto; immune system; Grade announced; alluvial soil; Kibby and Singleton; someone else's; Encinas Cruz; Book of Mormon; Ash Wednesday; available on iTunes; revival cast; zone of transition; subsequently replaced; made available; provincial government; 
doc91: Nightingale; Unexpected; correspondence; post-punk; Boston's; broadcast journalism; limited success; British Library; almost entirely; dropped out; often seen; railway station; going to work; but over; until they; were often; debut album; over the years; broke up; He did; 
doc92: Bibescu; Gheorghe; Representation; Cathedrals; Middelburg; personal best; Russian Civil; 100 metres; Army during; km north; Red Army; Civil War; 6� km; 
doc93: disorientated; fledglings; Basankusu; conservation; pollution; restricted breeding; introduced species; important staging; endangered species; western limits; The landscape; local people; town falls; become known; north of the village; lead them; they don't; them back; now been; has become; 
doc94: columns; earthquake; reinforcing; sufficiently; sections; filled land; southbound traffic; were not; two columns; its design; not tied; Track listing; either side; The design; was used; but some; At the time; which the; It was; 
doc95: Schmitz; Dothan; Maritime; Transferred; proclamation; Maritime Administration; African continent; National University of Singapore; The traditional; Central Africa; Reserve Fleet; first station; Naval Vessel; struck from the Naval Vessel; urgent need; struck from; first news; James River; 15 November; age groups; 
doc96: Habsburg; collected; descended; deliberative; grandfather's; team collected; Shao Kang; his grandfather's; Han Zhuo; genetic evidence; This declaration; secondary schools; officially opened; school was officially; YouTube channel; American actress; limited number; Queen Victoria; secondary school; 200 students; 
doc97: Stoke-on-Trent; county-level; Dombyra; philosophy; Cochran; reflection nebulae; Hunan University; artificial turf; Cochran Field; Napier Field; 2200 systems; significant influences; higher education; government benefits; currently recording; confiscation and destruction; classical learning; university campus; galactic magnetic; drawing together; 
doc98: Angiokeratoma; Willoughby; trapping; Gods; Waikato; True Gods; Zealand Cup; Air New Zealand Cup; Manchester Piccadilly; Tasslehoff Burrfoot; New Zealand; The world; usually considered; inaugural season; negative impact; toured Europe; just starting; appearing at; qualified for the final; Music Festival; 
doc99: Ueckermünde; Lastovo; Kottaras; Blakeney; divorced; Punjab region; following settlements; Tracks chart; The statute; Nothing as It Seems; spiritual leaders; designated for assignment; It Seems; quickly returned; church continued; another daughter; – January; successful song; Mainstream Rock Tracks; Federal Highway; 
doc100: Knesset; Lowell's; Singhasari; Chamberlin; Cardinals; Louis Cardinals; suit opening; both English; Differential diagnosis; esophageal sphincter; context-free grammar; his great-grandfather; marketing agreement; modern researchers; Persian literature; non-profit organization; Giuseppe Verdi's; which represent; perform worship; Series Champion; 
doc101: Gospel/Contemporary; Fréchet–Urysohn; imperfect; duplicate; Superman; Fréchet–Urysohn space; Lucy's sight; right down; rather than; was established; which will; five years; many other; years later; will not; no longer; she has; has been; at least; not be; 
doc102: Andolsek's; automobile; teammate; Caston; accident; automobile accident; killed in an automobile accident; Andolsek's death; Detroit Lions; Philadelphia Eagles; Atlanta Falcons; rookie season; October 1992; football game; 1991 season; also killed; back then; open mic; moved to New York City; days after; 
doc103: mainstreaming; Romano-Seraphicum; deuterium; Chulucanas; oxygen; gender mainstreaming; Information Technology; gender components; CO2 produced; interesting contrast; oxygen left the body; Provisional Government; South India; software companies; construction began; know how much of the tagged; conservation work; nothing happened; Texas Revolution; Japanese descent; 
doc104: republished; pictures; usually; Hollandse; format; without any; not limited; NBC sitcom; summer of 2011; main cast; large scale; under which; It consists; during the summer; tells the story; she played; after which; before being; The series; some of them; 
doc105: sub-divided; Fleischer; guest-starred; bullfighters; Michael/Adam; President Young; subject and object; insects such; national organisations; nouns are ranked; District Court; provide protection; famous characters; Football Association; domestic animals; Paramount Pictures; This combination; Jimmy Doolittle; been classified; eventually lead; 
doc106: incendiary; munitions; armor-piercing; Commissioner; CONAIE; Archeological finds; overdubbed backing; national emergency; Assistance Program; Police Commissioner; Deputy Commissioner; armor penetration; high temperature; violinist and composer; Bruce Johnston; primary purpose; first movement; gained a reputation; designed to provide; Department of Defense; 
doc107: Quaid-i-Azam; Quaid-e-Azam; Qilla; Saifullah; Quetta; legislative elections; Qilla Saifullah; Qilla Abdullah; passenger platforms; International Airport; two platforms; Union Station; political parties; For instance; still used; United Kingdom; May 2012; For example; at least; 
doc108: Carlile; fountain; Thessaloniki; commemorative; breakthrough; Thessaloniki Front; 10th anniversary; original plans; integrated into; The Beatles'; cover of The Beatles'; bus services; Balkan War; family moved; she joined; The center; The project; album of the same name; moved back; Table 1; 
doc109: convention's; missionaries; conventions; Nepal; constitution; boiler maintenance; technological innovation; regimental headquarters; industrial enterprise; The regiment; are geographically; thousand dollars; active duty; wildlife refuge; preliminary round; Rugby League Conference; Orient Express; secular state; massive heart; Wembley Stadium; 
doc110: Greenwald; Tillen; surveillance; Reporting; Journalism; Online Journalism; investigative journalism; state championship; two-year contract; mutual consent; following month; Honor Society; Public Service; 3–0 defeat; Pulitzer Prize; five seasons; won numerous; Izzy Award; The Guardian; right back; 
doc111: Rosemary; Kempeitai; Stane; Morrison; Chambers; Field Kempeitai; Monger armor; recurring character; police inspector; complete control; Asian languages; military police; her personality; The Corporation; Lieutenant Colonel; raising alarm; married women; both military; stated during; remains today; 
doc112: Lludd; Llefelys; capsid; Arellano; Yastrzemski; baseball history; Chinese FA; Grant City; regular membership; further resistance; non-profit organization; Football Association; declared invalid; unincorporated community; official results; registered voters; writing letters; 2010–11 season; shortly thereafter; Victorian Football; 
doc113: searchlight; Tasburgh; Curaçao; Vice-president; Bonaire; greater variety; islands of Aruba; controversy surrounding; Home Guard; purchased tickets; cargo services; blazing fire; Political career; committee was set; much greater; March 1989; October 2010; fall of France; As of October; In March; 
doc114: Skjervøy; Nordreisa; Hortons; post-secondary; nonviolent; nonviolent methods; Tim Hortons; lung cancer; transferred from Skjervøy; World Championships; transferred from Skjervøy to Nordreisa; Haugesunds Avis; Skjervøy to Nordreisa; Eikaas Gallery; Speer himself; Marston Doles; Ludvig Eikaas; post-secondary institutions; frequent cause; second most frequent cause; 
doc115: guild; Hartford; Gobbolino; experience; Capital; Capital Community; Community College; external angle; Coordinating Council; and/or recorded; community college; gain experience; give the impression; common theme; twin sister; only public; made available; punk bands; important role; all members; 
